Index,CWE,Vulnerable,Ground_Ranking,Ground_Score,Id_of_description_1,Score_1,Id_of_description_2,Score_2,Id_of_description_3,Score_3
9115,125,1,201,0.4021,1299,0.7364,,,,
9116,20,1,6,0.7172,1256,0.7304,,,,
9117,125,1,140,0.6137,,,,,,
9118,125,1,188,0.3831,1256,0.733,,,,
9119,119,1,289,0.4631,,,,,,
9120,119,1,295,0.3564,,,,,,
9121,119,1,307,0.3609,,,,,,
9122,125,1,195,0.3942,1299,0.7383,1256,0.7344,1323,0.733
9124,200,1,90,0.4719,,,,,,
9128,835,1,673,0.3821,35,0.737,1039,0.7332,89,0.7316
9129,835,1,671,0.292,,,,,,
9130,772,1,490,0.2978,1240,0.7381,,,,
9131,772,1,441,0.5028,40,0.7986,39,0.788,1078,0.7822
9132,835,1,675,0.2363,,,,,,
9133,835,1,20,0.7394,53,0.7656,593,0.7654,369,0.7612
9134,835,1,672,0.2334,,,,,,
9135,20,1,6,0.7095,,,,,,
9136,20,1,5,0.7032,,,,,,
9137,119,1,292,0.3549,,,,,,
9138,200,1,86,0.4708,,,,,,
9143,772,1,512,0.2834,,,,,,
9144,20,1,2,0.706,,,,,,
9145,20,1,2,0.7266,1240,0.7373,,,,
9146,20,1,100,0.5595,1261,0.7344,,,,
9147,20,1,301,0.4976,,,,,,
9148,119,1,293,0.3543,,,,,,
9149,119,1,293,0.3543,,,,,,
9151,20,1,43,0.6168,,,,,,
9152,20,1,2,0.7101,,,,,,
9153,20,1,2,0.709,,,,,,
9154,200,1,67,0.6455,1326,0.7327,,,,
9155,200,1,87,0.4505,1351,0.7365,1299,0.7319,,
9156,20,1,2,0.7132,,,,,,
9157,20,1,495,0.4534,329,0.7314,,,,
9158,20,1,121,0.5572,,,,,,
9159,20,1,167,0.5394,,,,,,
9160,20,1,297,0.5045,,,,,,
9161,20,1,5,0.6763,,,,,,
9162,20,1,487,0.4544,,,,,,
9167,200,1,86,0.4858,1240,0.7367,,,,
9168,119,1,285,0.3555,1299,0.7405,,,,
9170,125,1,195,0.4011,1240,0.7316,,,,
9172,119,1,291,0.3635,,,,,,
9173,119,1,301,0.3602,,,,,,
9174,119,1,297,0.3601,,,,,,
9175,119,1,295,0.3595,,,,,,
9176,119,1,297,0.3637,1240,0.7358,20,0.7325,,
9177,119,1,294,0.3593,1351,0.7534,1299,0.7527,1323,0.7476
9178,119,1,290,0.3641,,,,,,
9179,119,1,291,0.3487,,,,,,
9180,119,1,293,0.3597,,,,,,
9181,119,1,285,0.3637,,,,,,
9182,119,1,293,0.3597,,,,,,
9183,119,1,285,0.3637,,,,,,
9184,119,1,295,0.3614,,,,,,
9185,119,1,295,0.348,1256,0.7394,,,,
9186,119,1,288,0.36,1299,0.7385,1323,0.7367,1240,0.7303
9187,125,1,196,0.3962,,,,,,
9188,119,1,300,0.3577,,,,,,
9196,119,1,295,0.3621,1240,0.7412,,,,
9197,119,1,304,0.3546,,,,,,
9205,787,1,539,0.2825,1299,0.7397,1240,0.7353,1323,0.7325
9206,772,1,511,0.2841,,,,,,
9208,787,1,527,0.2924,,,,,,
9209,787,1,526,0.2855,,,,,,
9210,119,1,296,0.4434,1261,0.7305,,,,
9211,476,1,640,0.2478,,,,,,
9212,119,1,295,0.363,,,,,,
9213,119,1,270,0.5675,329,0.7371,759,0.7322,,
9214,400,1,153,0.4106,,,,,,
9215,400,1,778,0.4463,1296,0.7656,1087,0.7567,563,0.7561
9216,119,1,295,0.3569,1240,0.7312,,,,
9217,119,1,292,0.4908,,,,,,
9218,119,1,297,0.3598,,,,,,
9219,20,1,11,0.6594,,,,,,
9220,476,1,630,0.2536,,,,,,
9222,20,1,2,0.7184,1240,0.7327,,,,
9223,20,1,2,0.7016,,,,,,
9224,20,1,3,0.6873,,,,,,
9227,119,1,304,0.3471,,,,,,
9229,369,1,661,0.3462,,,,,,
9232,119,1,292,0.3536,,,,,,
9233,787,1,516,0.2793,,,,,,
9234,787,1,512,0.2887,,,,,,
9235,787,1,516,0.2852,,,,,,
9236,284,1,518,0.3024,,,,,,
9237,284,1,521,0.2785,,,,,,
9238,284,1,505,0.2823,,,,,,
9239,284,1,494,0.2931,,,,,,
9240,284,1,504,0.3169,,,,,,
9241,190,1,127,0.4442,,,,,,
9242,787,1,521,0.2782,,,,,,
9243,787,1,528,0.3492,,,,,,
9246,476,1,637,0.2386,,,,,,
9247,787,1,521,0.2819,,,,,,
9249,119,1,289,0.3415,,,,,,
9250,787,1,534,0.276,,,,,,
9251,119,1,292,0.426,,,,,,
9252,20,1,224,0.5316,,,,,,
9253,20,1,821,0.3726,1125,0.7516,777,0.7502,1049,0.7485
9255,125,1,200,0.4932,,,,,,
9256,22,1,52,0.5121,,,,,,
9257,22,1,52,0.5127,,,,,,
9258,476,1,642,0.2472,,,,,,
9259,772,1,498,0.3399,,,,,,
9260,125,1,387,0.6051,86,0.7451,145,0.7446,66,0.743
9261,125,1,187,0.4151,1240,0.7402,,,,
9262,772,1,507,0.2845,,,,,,
9263,190,1,128,0.4282,,,,,,
9264,772,1,508,0.2922,1299,0.7446,1323,0.741,1256,0.7396
9265,190,1,130,0.4721,,,,,,
9266,200,1,73,0.6447,,,,,,
9267,476,1,586,0.4957,567,0.737,1125,0.7345,667,0.7328
9268,119,1,288,0.3585,,,,,,
9269,119,1,295,0.3577,,,,,,
9271,416,1,95,0.4646,,,,,,
9272,119,1,300,0.3543,,,,,,
9273,772,1,510,0.3349,,,,,,
9274,20,1,105,0.5636,,,,,,
9275,125,1,183,0.4117,,,,,,
9276,476,1,631,0.2474,,,,,,
9277,476,1,633,0.247,,,,,,
9278,119,1,292,0.4691,1330,0.732,,,,
9279,787,1,503,0.4836,,,,,,
9280,400,1,149,0.4166,,,,,,
9281,400,1,152,0.403,1323,0.7403,1351,0.7351,1299,0.7347
9283,787,1,540,0.2806,,,,,,
9284,20,1,4,0.7115,,,,,,
9286,119,1,278,0.3643,,,,,,
9287,119,1,293,0.355,1299,0.7426,1323,0.7375,1256,0.7309
9288,416,1,276,0.6155,626,0.7477,30,0.7432,312,0.7427
9289,416,1,94,0.5308,,,,,,
9290,416,1,91,0.4737,,,,,,
9291,416,1,93,0.4814,,,,,,
9292,416,1,90,0.4595,,,,,,
9293,416,1,91,0.4825,1240,0.7309,,,,
9294,416,1,92,0.4731,,,,,,
9295,416,1,198,0.633,1295,0.7353,34,0.7352,577,0.7352
9296,416,1,91,0.4918,1240,0.7462,,,,
9297,416,1,92,0.4731,,,,,,
9298,416,1,90,0.5533,,,,,,
9299,416,1,90,0.4813,1240,0.7388,,,,
9300,190,1,123,0.4534,,,,,,
9301,190,1,123,0.4574,,,,,,
9302,125,1,714,0.4663,476,0.768,391,0.7666,487,0.7614
9303,125,1,189,0.4152,,,,,,
9304,20,1,2,0.7242,,,,,,
9305,119,1,289,0.3632,,,,,,
9306,772,1,497,0.3565,,,,,,
9310,78,1,58,0.5026,,,,,,
9311,476,1,630,0.2499,,,,,,
9312,125,1,189,0.406,,,,,,
9313,125,1,196,0.4058,1240,0.7366,,,,
9314,125,1,194,0.386,,,,,,
9315,119,1,284,0.3797,,,,,,
9316,119,1,293,0.3703,,,,,,
9317,119,1,285,0.3646,,,,,,
9318,119,1,296,0.3704,,,,,,
9319,119,1,296,0.3688,,,,,,
9320,119,1,297,0.3562,,,,,,
9321,119,1,290,0.3574,1240,0.731,,,,
9324,119,1,290,0.3574,1240,0.731,,,,
9327,125,1,162,0.583,,,,,,
9328,362,1,306,0.5545,,,,,,
9329,362,1,32,0.6686,,,,,,
9330,20,1,6,0.6921,,,,,,
9331,200,1,89,0.4716,,,,,,
9332,119,1,289,0.3604,,,,,,
9335,20,1,281,0.4979,,,,,,
9337,119,1,291,0.3467,,,,,,
9338,476,1,644,0.247,,,,,,
9339,476,1,637,0.3659,,,,,,
9340,78,1,659,0.4843,396,0.7549,605,0.7536,433,0.7507
9341,200,1,88,0.4577,,,,,,
9342,200,1,88,0.4566,,,,,,
9345,20,1,3,0.7071,,,,,,
9346,20,1,111,0.5695,,,,,,
9347,119,1,294,0.3598,,,,,,
9348,119,1,293,0.3658,1240,0.7334,,,,
9349,119,1,300,0.3483,,,,,,
9350,119,1,484,0.5524,404,0.7722,665,0.7652,1123,0.7605
9351,119,1,292,0.4764,1330,0.738,1341,0.732,,
9352,119,1,297,0.3627,1240,0.7321,,,,
9353,119,1,285,0.3623,,,,,,
9354,119,1,299,0.488,,,,,,
9355,119,1,298,0.3592,1299,0.7443,1323,0.7386,1256,0.735
9356,119,1,297,0.3595,,,,,,
9357,119,1,296,0.3598,,,,,,
9358,119,1,296,0.3496,1299,0.7515,1323,0.7465,1256,0.74
9359,119,1,282,0.5514,1268,0.7345,1339,0.7331,,
9360,119,1,294,0.3596,,,,,,
9361,119,1,297,0.3657,,,,,,
9362,119,1,299,0.3657,,,,,,
9363,345,1,877,0.2272,,,,,,
9364,119,1,292,0.3727,,,,,,
9365,119,1,321,0.3471,,,,,,
9366,20,1,941,0.3191,615,0.7527,1041,0.7513,1050,0.7512
9367,20,1,914,0.3341,1084,0.7471,761,0.7467,597,0.7445
9368,20,1,2,0.7005,,,,,,
9369,119,1,296,0.3542,1240,0.7354,,,,
9370,20,1,2,0.7201,1240,0.7361,,,,
9371,20,1,278,0.5056,,,,,,
9372,20,1,238,0.5117,,,,,,
9373,20,1,421,0.4719,,,,,,
9374,20,1,3,0.7038,,,,,,
9375,20,1,2,0.7168,1240,0.7352,,,,
9376,20,1,2,0.7091,1240,0.7347,,,,
9377,20,1,2,0.7147,,,,,,
9378,20,1,2,0.703,,,,,,
9379,20,1,15,0.6511,,,,,,
9380,20,1,2,0.7096,,,,,,
9381,20,1,2,0.7041,,,,,,
9382,20,1,2,0.7108,,,,,,
9383,20,1,342,0.4976,1274,0.7322,1252,0.7304,,
9384,20,1,2,0.7177,1240,0.7343,,,,
9385,20,1,608,0.4312,190,0.7429,1278,0.7418,35,0.7376
9386,20,1,2,0.7022,,,,,,
9387,20,1,2,0.7144,,,,,,
9388,20,1,17,0.6353,,,,,,
9389,20,1,6,0.6711,,,,,,
9390,200,1,87,0.475,,,,,,
9392,20,1,126,0.5559,,,,,,
9393,119,1,288,0.3649,,,,,,
9394,119,1,289,0.3664,,,,,,
9446,200,1,87,0.4594,,,,,,
9447,200,1,86,0.4784,1256,0.7314,,,,
9448,674,1,817,0.2954,,,,,,
9449,674,1,822,0.3101,,,,,,
9450,311,1,740,0.2866,,,,,,
9451,311,1,741,0.247,,,,,,
9452,200,1,91,0.4785,1240,0.7306,,,,
9453,200,1,89,0.4743,,,,,,
9454,200,1,86,0.5413,,,,,,
9455,330,1,357,0.4806,560,0.8017,270,0.7924,334,0.7899
9456,330,1,590,0.2611,,,,,,
9457,330,1,592,0.2541,,,,,,
9461,119,1,297,0.3449,,,,,,
9463,200,1,245,0.6145,1248,0.7384,31,0.7306,,
9464,200,1,90,0.4756,,,,,,
9465,787,1,527,0.4027,,,,,,
9469,20,1,2,0.707,,,,,,
9470,20,1,2,0.7111,,,,,,
9471,119,1,293,0.3648,,,,,,
9472,119,1,293,0.365,,,,,,
9473,119,1,290,0.3655,1240,0.733,,,,
9474,119,1,294,0.3651,1240,0.7307,,,,
9475,119,1,297,0.3691,,,,,,
9476,59,1,780,0.2016,,,,,,
9477,59,1,786,0.1931,,,,,,
9478,20,1,2,0.7242,1240,0.7373,,,,
9479,20,1,2,0.7218,1240,0.7392,,,,
9480,119,1,289,0.4045,,,,,,
9481,119,1,290,0.4296,,,,,,
9482,362,1,19,0.5899,1240,0.7347,,,,
9483,200,1,88,0.4656,,,,,,
9486,284,1,507,0.2926,1240,0.7323,,,,
9487,119,1,294,0.4109,,,,,,
9488,119,1,257,0.5794,,,,,,
9489,119,1,223,0.6016,,,,,,
9490,119,1,300,0.3462,,,,,,
9491,20,1,944,0.3109,,,,,,
9494,119,1,294,0.3633,,,,,,
9498,20,1,2,0.7196,1240,0.7395,,,,
9505,190,1,128,0.4221,,,,,,
9506,190,1,131,0.4242,1299,0.7427,1351,0.7331,,
9507,190,1,133,0.4147,1299,0.7347,1256,0.7316,,
9508,190,1,132,0.4411,,,,,,
9509,190,1,125,0.4345,,,,,,
9510,190,1,127,0.432,,,,,,
9511,190,1,135,0.4271,,,,,,
9512,119,1,285,0.3534,,,,,,
9513,20,1,5,0.672,,,,,,
9514,119,1,299,0.3464,,,,,,
9515,119,1,297,0.3529,1256,0.7634,1299,0.7528,1351,0.7429
9516,119,1,299,0.3268,,,,,,
9517,119,1,288,0.3528,,,,,,
9518,119,1,298,0.3517,,,,,,
9523,190,1,116,0.6137,,,,,,
9524,119,1,294,0.362,,,,,,
9525,200,1,88,0.4738,,,,,,
9526,20,1,271,0.5197,,,,,,
9527,119,1,296,0.3351,,,,,,
9528,125,1,186,0.409,1240,0.7335,,,,
9529,125,1,178,0.5852,,,,,,
9530,125,1,186,0.4115,1240,0.745,,,,
9531,119,1,303,0.3537,,,,,,
9532,119,1,292,0.3602,,,,,,
9533,119,1,296,0.3488,,,,,,
9534,119,1,298,0.3594,,,,,,
9535,119,1,298,0.3505,,,,,,
9536,284,1,515,0.2837,1240,0.7308,,,,
9538,787,1,529,0.2862,,,,,,
9539,476,1,640,0.2534,,,,,,
9540,362,1,20,0.5853,,,,,,
9541,59,1,783,0.2023,,,,,,
9542,787,1,509,0.2836,,,,,,
9544,119,1,291,0.4992,,,,,,
9545,119,1,299,0.3476,,,,,,
9546,20,1,2,0.7168,,,,,,
9547,20,1,2,0.7156,,,,,,
9548,119,1,301,0.3523,,,,,,
9549,125,1,194,0.5295,,,,,,
9550,119,1,286,0.3552,,,,,,
9554,200,1,88,0.47,,,,,,
9555,200,1,92,0.4749,,,,,,
9556,200,1,87,0.4753,,,,,,
9557,200,1,89,0.4751,,,,,,
9558,200,1,88,0.462,1323,0.7348,,,,
9559,200,1,88,0.4705,,,,,,
9560,200,1,79,0.6152,,,,,,
9561,416,1,582,0.5232,1074,0.768,1085,0.7604,1094,0.7595
9562,416,1,91,0.4727,,,,,,
9563,416,1,91,0.4773,1240,0.7335,,,,
9564,400,1,146,0.4209,,,,,,
9565,704,1,921,0.1624,1240,0.7326,,,,
9566,200,1,90,0.5336,,,,,,
9567,20,1,2,0.7219,,,,,,
9568,20,1,2,0.7241,,,,,,
9569,20,1,4,0.7174,,,,,,
9570,20,1,2,0.7218,,,,,,
9571,20,1,714,0.3957,612,0.7335,312,0.7322,1235,0.7316
9572,20,1,783,0.3763,925,0.7402,527,0.7375,316,0.7345
9573,20,1,617,0.4264,1283,0.7327,,,,
9575,284,1,510,0.3804,1250,0.7437,328,0.7356,1007,0.735
9576,284,1,523,0.2786,,,,,,
9577,20,1,5,0.7029,1323,0.7345,1351,0.7315,,
9578,20,1,1,0.7144,,,,,,
9579,125,1,193,0.4702,,,,,,
9580,20,1,3,0.6994,,,,,,
9585,119,1,300,0.3557,,,,,,
9586,119,1,284,0.3475,,,,,,
9587,119,1,289,0.3481,,,,,,
9588,200,1,87,0.4701,,,,,,
9589,200,1,90,0.4704,1299,0.776,1323,0.7684,1256,0.7674
9590,200,1,90,0.4786,1299,0.7438,,,,
9591,20,1,2,0.7097,,,,,,
9592,20,1,2,0.7111,1240,0.7332,,,,
9593,20,1,153,0.5414,,,,,,
9594,20,1,518,0.4495,759,0.7323,,,,
9595,20,1,2,0.7103,,,,,,
9596,20,1,852,0.3651,1071,0.7501,58,0.749,1176,0.7439
9597,20,1,2,0.7073,,,,,,
9598,20,1,2,0.7217,1240,0.7399,,,,
9600,119,1,282,0.3579,,,,,,
9601,119,1,284,0.3627,,,,,,
9602,78,1,54,0.5431,,,,,,
9603,369,1,665,0.2414,,,,,,
9618,327,1,32,0.5491,,,,,,
9619,327,1,34,0.5462,,,,,,
9624,119,1,300,0.355,,,,,,
9627,94,1,59,0.5027,,,,,,
9629,20,1,2,0.7189,,,,,,
9631,20,1,2,0.7189,,,,,,
9632,20,1,3,0.7194,,,,,,
9633,20,1,2,0.7311,1240,0.7354,20,0.7311,,
9634,20,1,2,0.7179,,,,,,
9637,22,1,50,0.5377,1240,0.7336,,,,
9638,22,1,54,0.5322,,,,,,
9639,200,1,86,0.4754,,,,,,
9640,119,1,293,0.3726,,,,,,
9641,119,1,298,0.4048,,,,,,
9645,20,1,126,0.5561,,,,,,
9646,20,1,2,0.6994,,,,,,
9647,119,1,285,0.3556,,,,,,
9648,119,1,285,0.3946,,,,,,
9649,94,1,59,0.5292,,,,,,
9650,119,1,6,0.7225,1176,0.7303,,,,
9651,20,1,373,0.4746,,,,,,
9653,119,1,294,0.3515,,,,,,
9654,119,1,294,0.3515,,,,,,
9655,835,1,673,0.2401,1240,0.7412,,,,
9656,20,1,955,0.2122,14,0.7804,121,0.7709,122,0.7661
9657,20,1,955,0.2124,14,0.7803,121,0.7711,122,0.7667
9658,416,1,53,0.6743,226,0.7318,,,,
9659,416,1,70,0.6655,,,,,,
9660,190,1,127,0.4547,,,,,,
9661,415,1,310,0.4137,,,,,,
9662,134,1,293,0.3487,,,,,,
9663,134,1,284,0.3586,1240,0.7304,,,,
9664,134,1,290,0.4008,,,,,,
9665,134,1,284,0.3814,,,,,,
9666,134,1,276,0.3559,,,,,,
9667,134,1,289,0.3577,,,,,,
9668,134,1,286,0.4594,,,,,,
9669,134,1,286,0.3523,,,,,,
9670,134,1,285,0.4382,1261,0.7368,,,,
9671,134,1,294,0.3715,1240,0.7371,,,,
9672,134,1,298,0.3655,,,,,,
9673,134,1,293,0.3929,,,,,,
9674,134,1,282,0.5214,,,,,,
9675,134,1,288,0.3672,,,,,,
9676,134,1,286,0.5366,1224,0.739,,,,
9677,134,1,276,0.3601,,,,,,
9678,134,1,286,0.3653,1240,0.7304,,,,
9679,125,1,192,0.3728,,,,,,
9680,200,1,82,0.4779,,,,,,
9681,119,1,296,0.3469,,,,,,
9682,119,1,281,0.3569,,,,,,
9683,20,1,955,0.2889,1069,0.7477,546,0.7462,474,0.744
9684,20,1,229,0.4983,,,,,,
9685,20,1,353,0.4935,,,,,,
9686,20,1,363,0.4846,,,,,,
9687,22,1,51,0.5224,1240,0.7303,,,,
9688,22,1,52,0.517,,,,,,
9689,20,1,814,0.3701,316,0.7616,527,0.7578,567,0.7563
9693,119,1,294,0.3476,,,,,,
9694,190,1,127,0.4347,,,,,,
9695,190,1,124,0.4424,,,,,,
9696,190,1,135,0.4397,,,,,,
9697,190,1,130,0.4526,,,,,,
9698,190,1,126,0.4399,,,,,,
9699,190,1,129,0.6784,312,0.7478,1193,0.7444,1235,0.7423
9700,190,1,125,0.4396,,,,,,
9701,190,1,127,0.4463,,,,,,
9702,20,1,954,0.3058,583,0.759,690,0.7588,375,0.7576
9703,20,1,1,0.7019,,,,,,
9704,20,1,805,0.3738,527,0.7541,316,0.7476,925,0.7459
9705,20,1,953,0.1863,468,0.7979,12,0.7932,608,0.7913
9706,20,1,954,0.2181,97,0.7809,311,0.7785,491,0.7771
9707,20,1,808,0.3715,917,0.7606,667,0.7577,1116,0.757
9708,20,1,954,0.1765,705,0.8038,434,0.7973,696,0.7927
9709,20,1,778,0.3877,1331,0.772,1286,0.7655,1234,0.7598
9710,20,1,347,0.4941,,,,,,
9711,20,1,953,0.2645,314,0.7853,8,0.7847,477,0.7826
9712,20,1,547,0.4575,35,0.7435,1267,0.7416,1246,0.7413
9713,20,1,686,0.412,1235,0.7483,312,0.7478,34,0.7455
9714,20,1,953,0.1913,528,0.7805,607,0.7734,687,0.7703
9715,20,1,2,0.7204,,,,,,
9716,119,1,289,0.3546,,,,,,
9717,125,1,195,0.4041,,,,,,
9718,125,1,202,0.4023,,,,,,
9719,125,1,188,0.3979,,,,,,
9721,119,1,151,0.694,1282,0.7766,24,0.7702,918,0.7682
9722,119,1,260,0.5861,35,0.7385,89,0.7364,1039,0.7337
9723,20,1,6,0.6858,,,,,,
9724,20,1,113,0.5665,,,,,,
9725,20,1,4,0.7195,1256,0.7362,,,,
9726,20,1,485,0.4599,1222,0.7317,,,,
9727,20,1,3,0.715,,,,,,
9728,20,1,6,0.6582,,,,,,
9729,20,1,388,0.4766,,,,,,
9730,20,1,433,0.4673,1268,0.7388,116,0.7332,,
9731,20,1,266,0.5114,,,,,,
9732,20,1,947,0.3144,1058,0.7694,1086,0.7594,1122,0.759
9733,20,1,729,0.389,,,,,,
9734,20,1,954,0.2681,1123,0.7601,330,0.757,315,0.7519
9735,20,1,949,0.3079,572,0.7634,467,0.7602,1058,0.7592
9736,190,1,74,0.6657,1224,0.7375,1220,0.7307,1339,0.7307
9737,20,1,2,0.7197,,,,,,
9738,190,1,115,0.6074,,,,,,
9739,20,1,393,0.487,1224,0.7479,1316,0.7427,1022,0.7378
9740,20,1,750,0.383,1193,0.7486,576,0.733,1282,0.7326
9741,20,1,2,0.7235,,,,,,
9742,20,1,3,0.715,,,,,,
9743,20,1,741,0.3928,1331,0.7434,1234,0.7351,1048,0.7349
9744,20,1,460,0.4585,,,,,,
9745,20,1,142,0.5488,,,,,,
9746,20,1,135,0.5549,,,,,,
9748,732,1,266,0.5984,,,,,,
9749,125,1,179,0.4424,,,,,,
9750,125,1,193,0.3898,,,,,,
9751,125,1,179,0.382,,,,,,
9752,125,1,152,0.6237,88,0.7309,,,,
9753,125,1,266,0.6349,1064,0.7414,1054,0.7407,1073,0.7363
9754,125,1,3,0.708,,,,,,
9755,125,1,201,0.3698,1323,0.7321,,,,
9756,125,1,201,0.3887,,,,,,
9757,125,1,195,0.4387,,,,,,
9758,125,1,199,0.3847,,,,,,
9759,125,1,196,0.3927,,,,,,
9760,125,1,189,0.4919,,,,,,
9761,125,1,190,0.4039,,,,,,
9762,331,1,842,0.2179,,,,,,
9764,119,1,207,0.6712,615,0.7604,86,0.7583,245,0.7566
9765,20,1,471,0.4669,1339,0.7362,1224,0.7331,591,0.7324
9766,20,1,129,0.5518,,,,,,
9767,20,1,2,0.7077,,,,,,
9768,20,1,3,0.6912,,,,,,
9769,20,1,2,0.7202,,,,,,
9770,20,1,353,0.4884,,,,,,
9771,20,1,605,0.4336,35,0.7356,,,,
9772,20,1,130,0.5555,,,,,,
9773,476,1,634,0.4162,1385,0.7426,35,0.742,1328,0.7332
9774,476,1,630,0.2564,,,,,,
9775,119,1,290,0.4572,,,,,,
9776,119,1,289,0.3486,,,,,,
9777,119,1,296,0.3495,,,,,,
9778,119,1,22,0.7101,1125,0.7307,,,,
9779,119,1,292,0.3452,,,,,,
9780,119,1,288,0.333,,,,,,
9781,119,1,280,0.3447,,,,,,
9782,119,1,300,0.34,,,,,,
9783,119,1,245,0.5762,,,,,,
9784,119,1,262,0.5608,,,,,,
9785,119,1,301,0.4568,,,,,,
9786,119,1,293,0.4012,,,,,,
9787,119,1,293,0.3458,,,,,,
9788,119,1,292,0.3589,,,,,,
9789,119,1,285,0.4161,,,,,,
9790,119,1,301,0.478,,,,,,
9791,119,1,297,0.3472,,,,,,
9792,119,1,283,0.3682,,,,,,
9793,119,1,211,0.6239,488,0.7362,,,,
9794,119,1,290,0.3538,,,,,,
9795,119,1,284,0.3485,,,,,,
9797,119,1,292,0.3928,,,,,,
9798,476,1,634,0.253,,,,,,
9799,22,1,8,0.7074,,,,,,
9800,22,1,50,0.5352,,,,,,
9805,20,1,2,0.7172,,,,,,
9806,20,1,3,0.6895,,,,,,
9807,20,1,2,0.7128,,,,,,
9808,20,1,579,0.434,35,0.7364,,,,
9809,20,1,2,0.7066,,,,,,
9810,20,1,5,0.7086,1351,0.735,,,,
9816,119,1,299,0.3623,1240,0.7371,,,,
9818,362,1,10,0.6859,,,,,,
9819,362,1,18,0.595,1240,0.7385,,,,
9820,362,1,23,0.5777,,,,,,
9821,362,1,20,0.5853,1240,0.7359,,,,
9822,362,1,21,0.5886,1240,0.7312,,,,
9825,362,1,18,0.595,1240,0.7307,,,,
9826,362,1,18,0.5981,1240,0.7426,,,,
9827,362,1,19,0.6003,1240,0.7426,20,0.7305,,
9828,362,1,20,0.594,1240,0.7336,,,,
9829,362,1,19,0.6004,,,,,,
9830,362,1,2,0.736,1251,0.7375,362,0.736,359,0.7326
9831,362,1,21,0.5729,,,,,,
9832,362,1,696,0.452,1315,0.7483,1104,0.7463,134,0.744
9833,362,1,19,0.5848,,,,,,
9834,362,1,126,0.6179,1311,0.7359,1290,0.7351,1302,0.7329
9835,362,1,662,0.4687,184,0.7568,527,0.7553,799,0.7504
9836,362,1,19,0.5968,1240,0.7376,,,,
9837,362,1,19,0.5927,1240,0.7371,,,,
9838,362,1,18,0.5995,1240,0.7426,,,,
9839,362,1,18,0.5941,1240,0.7326,,,,
9840,362,1,15,0.6475,,,,,,
9841,362,1,19,0.5907,,,,,,
9842,362,1,18,0.5946,1240,0.7329,,,,
9843,362,1,663,0.4696,316,0.7638,184,0.7632,527,0.7582
9844,362,1,927,0.3469,619,0.7739,92,0.7723,766,0.7696
9845,362,1,543,0.5098,707,0.7613,626,0.7612,612,0.753
9846,362,1,500,0.5205,31,0.7603,34,0.7554,244,0.7536
9847,362,1,19,0.6297,,,,,,
9848,362,1,20,0.5965,1240,0.7335,,,,
9849,362,1,18,0.6034,1240,0.7389,,,,
9850,362,1,17,0.6438,,,,,,
9851,362,1,18,0.5923,1240,0.7345,,,,
9852,362,1,21,0.5769,,,,,,
9853,362,1,18,0.5935,1240,0.7413,,,,
9854,362,1,18,0.5973,1240,0.7437,,,,
9855,362,1,19,0.5899,1240,0.7338,,,,
9856,362,1,309,0.5737,1233,0.7427,1264,0.7416,662,0.7397
9857,362,1,18,0.6011,1240,0.7415,,,,
9858,362,1,18,0.6007,1240,0.7425,,,,
9859,362,1,18,0.6055,1240,0.7433,,,,
9860,362,1,22,0.5868,1240,0.7349,,,,
9861,20,1,2,0.6992,,,,,,
9862,20,1,5,0.6902,,,,,,
9863,287,1,868,0.1753,1240,0.7325,,,,
9864,287,1,868,0.1747,1240,0.7344,,,,
9865,287,1,859,0.1781,1240,0.7318,,,,
9866,362,1,13,0.6661,,,,,,
9868,200,1,89,0.4886,1240,0.739,,,,
9872,119,1,290,0.3637,1240,0.7336,,,,
9873,119,1,287,0.3725,1240,0.7384,,,,
9875,20,1,2,0.7171,1240,0.7379,,,,
9884,20,1,2,0.7126,,,,,,
9896,119,1,653,0.4216,128,0.7843,553,0.7828,148,0.7787
9897,119,1,286,0.4336,1329,0.7309,,,,
9905,119,1,286,0.3619,1240,0.7327,,,,
9906,119,1,282,0.5145,226,0.7439,1221,0.7397,830,0.7365
9907,119,1,302,0.359,,,,,,
9920,119,1,291,0.3615,,,,,,
9921,119,1,271,0.5764,662,0.7371,329,0.7316,207,0.7315
9922,119,1,294,0.397,,,,,,
9923,119,1,284,0.4938,,,,,,
9924,119,1,286,0.3617,1240,0.7327,,,,
9927,20,1,721,0.4019,1282,0.7563,626,0.7504,125,0.7501
9928,119,1,290,0.3642,1240,0.7303,,,,
9929,119,1,286,0.3632,,,,,,
9935,200,1,88,0.4823,,,,,,
9936,200,1,834,0.411,436,0.7535,11,0.7508,1076,0.7495
9937,200,1,565,0.5248,111,0.7607,1070,0.7469,558,0.7467
9938,200,1,84,0.4776,,,,,,
9939,200,1,86,0.4768,,,,,,
9940,200,1,87,0.4548,,,,,,
9941,200,1,87,0.4551,,,,,,
9942,89,1,121,0.4443,,,,,,
9943,89,1,118,0.4431,,,,,,
9944,89,1,17,0.7321,759,0.747,1233,0.7462,843,0.7435
9947,20,1,2,0.7151,1240,0.7347,,,,
9948,20,1,6,0.6682,,,,,,
9949,20,1,2,0.7091,,,,,,
9950,20,1,36,0.6188,,,,,,
9951,20,1,2,0.6954,,,,,,
9979,119,1,304,0.3625,1240,0.7407,,,,
9980,20,1,941,0.3118,1122,0.744,551,0.7408,1086,0.7398
